baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2783.29700886756	5.82190261246304	0.14263239641939	40.8175334539326	0	0
ENSMUSG00000025608.9	4404.12804752084	8.30891798407735	0.197814386948239	42.0036080907074	0	0
ENSMUSG00000045545.8	4089.60019830086	9.12079476672014	0.238263659178512	38.2802597683882	0	0
ENSMUSG00000047586.4	2409.30478381516	7.41915121402003	0.196061795513933	37.8408817208491	0	0
ENSMUSG00000054889.10	6840.06051718024	4.6496542013132	0.115866435687154	40.1294315626272	0	0
ENSMUSG00000020758.15	6338.92922744761	4.25626395665299	0.113543872675809	37.4856331420497	1.57904151742112e-307	4.50632131713365e-304
ENSMUSG00000030693.10	1241.06183592798	5.46466643818241	0.147677012514537	37.0041778685392	9.80984912731217e-300	2.39962923724238e-296
ENSMUSG00000053797.10	2358.3491558484	7.97550920795712	0.217019354303284	36.7502208895681	1.15322235362885e-295	2.46832829514834e-292
ENSMUSG00000037820.15	3908.25163194327	4.0203810102871	0.109474989805322	36.7241962519157	3.00218382677572e-295	5.71182151843119e-292
ENSMUSG00000024406.16	2301.45255403838	4.47829040342328	0.122102629820339	36.6764451348229	1.73418119484954e-294	2.96943845994087e-291
ENSMUSG00000047281.3	1064.18977931493	5.25483691456464	0.148819051233561	35.3102433526306	4.08909093094898e-273	6.36522763733085e-270
ENSMUSG00000056602.12	1177.18390460284	5.3865812895036	0.153303626069141	35.1366854628358	1.85669307756219e-270	2.64934629725812e-267
ENSMUSG00000037185.9	1423.14476385835	4.98715453594314	0.142802243407904	34.9235027190553	3.27045502675665e-267	4.3076924171657e-264
ENSMUSG00000027375.14	3838.81187611882	5.75870504783108	0.166115707346533	34.6668303667267	2.49156385028384e-263	3.04736055774358e-260
ENSMUSG00000026413.12	1670.62186901486	5.50408817857249	0.161627548730995	34.0541462256117	3.5239144947487e-254	4.02266585957214e-251
ENSMUSG00000031995.9	1272.34654616974	6.00564671019109	0.179251063492675	33.5041064369278	4.19968940177411e-246	4.49445510166113e-243
ENSMUSG00000019102.10	4253.82697247701	3.75302617908192	0.116029513578736	32.345444390191	1.60782416314764e-229	1.61945724385747e-226
ENSMUSG00000034282.3	1267.48933987823	6.83654564283537	0.216057887001206	31.6421943106257	9.71053060530692e-220	9.23741197525946e-217
ENSMUSG00000074796.10	891.495461024388	4.27219667795511	0.135360714412991	31.5615701090381	1.2441635120537e-218	1.12125325352082e-215
ENSMUSG00000028435.8	1000.89228994763	6.24978671027269	0.199116549801438	31.3875803719233	2.98937150774097e-216	2.55935041635243e-213
ENSMUSG00000042793.13	994.247006278801	4.18755198872461	0.134976876952329	31.0242175050736	2.54167416695789e-211	2.07243270289619e-208
ENSMUSG00000049382.10	5901.57994781079	10.8632637390449	0.354116627573282	30.6770789428598	1.15093656146803e-206	8.95794851909869e-204
ENSMUSG00000063450.14	2007.93769819803	3.45269765220693	0.114483306938024	30.1589615512772	8.18389162057968e-200	6.09272940083417e-197
ENSMUSG00000022871.13	1100.17334308785	6.65291507740728	0.221176397221547	30.0796792107216	8.93645889241175e-199	6.37579106728194e-196
ENSMUSG00000020788.15	2105.28302853241	8.8147788868657	0.298357292116743	29.5443721999481	7.75661865464608e-192	5.31266324894019e-189
ENSMUSG00000025432.11	1237.94572151147	6.45117869238121	0.218517982074007	29.5224156435617	1.48461397393423e-191	9.7773250291061e-189
ENSMUSG00000061126.5	1586.73546111758	8.12489497587496	0.276107331847045	29.4265817626889	2.51046820049278e-190	1.59210174063104e-187
ENSMUSG00000003153.10	1022.5852903795	4.74932775494164	0.168647975977485	28.1611903576933	1.7480342060521e-174	1.06898534679393e-171
ENSMUSG00000060716.7	840.509647187167	6.73138470620257	0.239597475530989	28.0945560519144	1.14173733981034e-173	6.7413684377836e-171
ENSMUSG00000040703.11	1371.02798353202	7.26947503446922	0.260410558627456	27.9154388853677	1.73314280157957e-171	9.89220139714899e-169
ENSMUSG00000048699.4	2460.45845535889	9.59994314323054	0.348001855524477	27.5858964279439	1.64290146540901e-167	9.07464573941886e-165
